"","nazwa","wyswietlacz","pamiec_RAM","pamiec_wbudowana","aparat_foto","cena","liczba_opinii","oceny","status_opinii"
1,Sony Xperia 5.6,6.1,6,128,12,599,61,0,50-100 opinii
2,Sony Xperia 10.3,6,6,128,28,1899,144,0.5,wiecej 100 opinii
3,Sony Xperia E4,5,1,64,5,349,34,1,mniej 50 opinii
4,Sony Xperia XZ3,6,4,64,19,2899,25,1.5,mniej 50 opinii
5,Sony Xperia P,4,1,16,8,761,95,2,50-100 opinii
6,Sony Xperia L4,6.2,3,64,20,885,44,2.5,mniej 50 opinii
7,Sony Xperia XA2,5.2,3,32,23,899,85,3,50-100 opinii
8,Sony Xperia Z5,5.2,3,32,23,1799,19,3.5,mniej 50 opinii
9,Sony Xperia XZ1,5.2,4,64,19,1999,123,4,wiecej 100 opinii
10,Sony Xperia V,4.3,1,8,13,869,11,4.5,mniej 50 opinii
11,Galaxy S22,6.1,8,128,50,3999,44,5,mniej 50 opinii
12,GalaxyS20,6.5,6,128,12,2399,149,5,wiecej 100 opinii
13,GalaxyM52,6.7,6,128,64,1399,46,5,mniej 50 opinii
14,GalaxyA52s,6.5,6,128,64,1799,217,5,wiecej 100 opinii
15,GalaxyM12,6.5,4,64,48,699,168,5,wiecej 100 opinii
